batch_size,learning_rate,fold,accuracy,f1,tpr,tnr,gmean,preprocessed_dir
2,0.001,2,0.782608695652174,0.7619047619047619,0.7272727272727273,0.8333333333333334,0.778498944161523,resize_mini_hu_m300_1400_separadas
2,0.001,3,0.5909090909090909,0.6086956521739131,0.6363636363636364,0.5454545454545454,0.5891582453098054,resize_mini_hu_m300_1400_separadas
2,0.001,4,0.6363636363636364,0.6363636363636364,0.7,0.5833333333333334,0.6390096504226938,resize_mini_hu_m300_1400_separadas
2,0.001,5,0.7272727272727273,0.5714285714285714,0.4,1.0,0.6324555320336759,resize_mini_hu_m300_1400_separadas
4,1e-05,1,0.6521739130434783,0.6666666666666666,0.7272727272727273,0.5833333333333334,0.6513389472789296,resize_mini_hu_m300_1400_separadas
4,1e-05,2,0.6521739130434783,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.6513389472789296,resize_mini_hu_m300_1400_separadas
4,1e-05,3,0.45454545454545453,0.5384615384615384,0.6363636363636364,0.2727272727272727,0.41659779045053086,resize_mini_hu_m300_1400_separadas
4,1e-05,4,0.5454545454545454,0.375,0.3,0.75,0.4743416490252569,resize_mini_hu_m300_1400_separadas
4,1e-05,5,0.45454545454545453,0.3333333333333333,0.3,0.5833333333333334,0.4183300132670378,resize_mini_hu_m300_1400_separadas
4,5e-05,1,0.5217391304347826,0.0,0.0,1.0,0.0,resize_mini_hu_m300_1400_separadas
4,5e-05,2,0.6521739130434783,0.5555555555555556,0.45454545454545453,0.8333333333333334,0.6154574548966637,resize_mini_hu_m300_1400_separadas
4,5e-05,3,0.45454545454545453,0.3333333333333333,0.2727272727272727,0.6363636363636364,0.41659779045053086,resize_mini_hu_m300_1400_separadas
4,5e-05,4,0.5454545454545454,0.16666666666666666,0.1,0.9166666666666666,0.3027650354097492,resize_mini_hu_m300_1400_separadas
4,5e-05,5,0.45454545454545453,0.625,1.0,0.0,0.0,resize_mini_hu_m300_1400_separadas
4,0.0001,1,0.4782608695652174,0.6470588235294118,1.0,0.0,0.0,resize_mini_hu_m300_1400_separadas
4,0.0001,2,0.5652173913043478,0.6428571428571429,0.8181818181818182,0.3333333333333333,0.5222329678670935,resize_mini_hu_m300_1400_separadas
4,0.0001,3,0.5,0.6666666666666666,1.0,0.0,0.0,resize_mini_hu_m300_1400_separadas
4,0.0001,4,0.5454545454545454,0.6666666666666666,1.0,0.16666666666666666,0.408248290463863,resize_mini_hu_m300_1400_separadas
4,0.0001,5,0.45454545454545453,0.625,1.0,0.0,0.0,resize_mini_hu_m300_1400_separadas
4,0.0005,1,0.6956521739130435,0.72,0.8181818181818182,0.5833333333333334,0.6908492797077574,resize_mini_hu_m300_1400_separadas
4,0.0005,2,0.6956521739130435,0.72,0.8181818181818182,0.5833333333333334,0.6908492797077574,resize_mini_hu_m300_1400_separadas
4,0.0005,3,0.5909090909090909,0.7096774193548387,1.0,0.18181818181818182,0.4264014327112209,resize_mini_hu_m300_1400_separadas
4,0.0005,4,0.6818181818181818,0.6956521739130435,0.8,0.5833333333333334,0.6831300510639733,resize_mini_hu_m300_1400_separadas
4,0.0005,5,0.6818181818181818,0.631578947368421,0.6,0.75,0.6708203932499369,resize_mini_hu_m300_1400_separadas
4,0.001,1,0.6086956521739131,0.7096774193548387,1.0,0.25,0.5,resize_mini_hu_m300_1400_separadas
4,0.001,2,0.6086956521739131,0.6666666666666666,0.8181818181818182,0.4166666666666667,0.5838742081211422,resize_mini_hu_m300_1400_separadas
4,0.001,3,0.6818181818181818,0.7586206896551724,1.0,0.36363636363636365,0.6030226891555273,resize_mini_hu_m300_1400_separadas
4,0.001,4,0.6363636363636364,0.6666666666666666,0.8,0.5,0.6324555320336759,resize_mini_hu_m300_1400_separadas
4,0.001,5,0.5,0.5925925925925926,0.8,0.25,0.4472135954999579,resize_mini_hu_m300_1400_separadas
8,1e-05,1,0.5217391304347826,0.15384615384615385,0.09090909090909091,0.9166666666666666,0.28867513459481287,resize_mini_hu_m300_1400_separadas
8,1e-05,2,0.4782608695652174,0.6470588235294118,1.0,0.0,0.0,resize_mini_hu_m300_1400_separadas
8,1e-05,3,0.5,0.0,0.0,1.0,0.0,resize_mini_hu_m300_1400_separadas
