n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,F1_promedio,Recall_promedio,Accuracy_promedio
200,5,0.05,0.8,0.8,1.25,0.165,0.22,0.479
200,5,0.05,0.9,0.8,1.25,0.1723,0.22,0.5067
200,5,0.05,0.8,0.8,1.5,0.205,0.26,0.479
200,5,0.05,0.9,0.8,1.5,0.2123,0.26,0.5067
200,5,0.05,0.8,0.8,1.75,0.205,0.26,0.4924
200,5,0.05,0.9,0.8,1.75,0.2434,0.3,0.4781
200,5,0.05,0.8,0.8,2.0,0.2495,0.3,0.4924
200,5,0.05,0.9,0.8,2.0,0.2434,0.3,0.4781
300,5,0.05,0.8,0.8,1.0,0.1723,0.22,0.4933
300,5,0.05,0.9,0.8,1.0,0.165,0.22,0.479
300,5,0.05,0.8,0.8,1.25,0.165,0.22,0.4657
300,5,0.05,0.9,0.8,1.25,0.165,0.22,0.5057
300,5,0.05,0.8,0.8,1.5,0.2095,0.26,0.479
300,5,0.05,0.9,0.8,1.5,0.165,0.22,0.479
300,5,0.05,0.8,0.8,1.75,0.2495,0.3,0.4924
300,5,0.05,0.9,0.8,1.75,0.2495,0.3,0.4924
300,5,0.05,0.8,0.8,2.0,0.2495,0.3,0.4924
300,5,0.05,0.9,0.8,2.0,0.2434,0.3,0.4781
