fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob,seed
3,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
4,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
4,TEST,0.76,0.7692307692307693,0.8333333333333334,0.6923076923076923,0.75955452531275,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
5,VALIDATION,0.65,0.631578947368421,0.6,0.7,0.648074069840786,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
5,TEST,0.84,0.8,0.7272727272727273,0.9285714285714286,0.8217814036133182,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
MEAN,VALIDATION,0.72,0.69703007518797,0.72,0.7218181818181819,0.7149432482849087,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
MEAN,TEST,0.6960000000000001,0.6795273132664438,0.6787878787878787,0.7087912087912087,0.6911829921716807,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
1,VALIDATION,0.65,0.5333333333333333,0.4444444444444444,0.8181818181818182,0.6030226891555273,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
1,TEST,0.64,0.6086956521739131,0.5833333333333334,0.6923076923076923,0.6354889093022426,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
2,VALIDATION,0.8,0.8181818181818182,1.0,0.6363636363636364,0.7977240352174656,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
2,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
3,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
3,TEST,0.56,0.6206896551724138,0.75,0.38461538461538464,0.5370861555295747,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
4,VALIDATION,0.65,0.5333333333333333,0.4444444444444444,0.8181818181818182,0.6030226891555273,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
4,TEST,0.76,0.7857142857142857,0.9166666666666666,0.6153846153846154,0.7510676161988108,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
5,VALIDATION,0.6,0.6666666666666666,0.8,0.4,0.5656854249492381,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
5,TEST,0.72,0.7586206896551724,1.0,0.5,0.7071067811865476,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
MEAN,VALIDATION,0.66,0.6303030303030303,0.671111111111111,0.6436363636363637,0.6344955055266571,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
MEAN,TEST,0.656,0.67782097962008,0.7833333333333333,0.5461538461538462,0.6459788303464907,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
1,VALIDATION,0.7,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6963106238227914,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
1,TEST,0.48,0.38095238095238093,0.3333333333333333,0.6153846153846154,0.4529108136578383,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
