fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
3,TEST,0.56,0.6666666666666666,0.9166666666666666,0.23076923076923078,0.45993310550389993,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
4,VALIDATION,0.5,0.5833333333333334,0.7777777777777778,0.2727272727272727,0.4605661864718383,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
4,TEST,0.48,0.5806451612903226,0.75,0.23076923076923078,0.41602514716892186,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
5,VALIDATION,0.7,0.7,0.7,0.7,0.7,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
5,TEST,0.68,0.6666666666666666,0.7272727272727273,0.6428571428571429,0.6837634587578277,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
MEAN,VALIDATION,0.61,0.6372727272727273,0.74,0.5036363636363637,0.6019032425833716,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
MEAN,TEST,0.5680000000000001,0.6201583362873685,0.7454545454545455,0.40549450549450555,0.5330472168975522,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
1,VALIDATION,0.85,0.8421052631578947,0.8888888888888888,0.8181818181818182,0.8528028654224418,2,0.001,resize_small_hu_m600_1500_separadas,0,0.2
1,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,2,0.001,resize_small_hu_m600_1500_separadas,0,0.2
2,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,2,0.001,resize_small_hu_m600_1500_separadas,0,0.2
2,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,2,0.001,resize_small_hu_m600_1500_separadas,0,0.2
3,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,2,0.001,resize_small_hu_m600_1500_separadas,0,0.2
3,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,2,0.001,resize_small_hu_m600_1500_separadas,0,0.2
4,VALIDATION,0.65,0.72,1.0,0.36363636363636365,0.6030226891555273,2,0.001,resize_small_hu_m600_1500_separadas,0,0.2
