fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
3,TEST,0.56,0.6206896551724138,0.75,0.38461538461538464,0.5370861555295747,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
4,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
4,TEST,0.48,0.6285714285714286,0.9166666666666666,0.07692307692307693,0.2655425022718972,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
5,VALIDATION,0.65,0.6956521739130435,0.8,0.5,0.6324555320336759,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
5,TEST,0.68,0.7333333333333333,1.0,0.42857142857142855,0.6546536707079771,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
MEAN,VALIDATION,0.6799999999999999,0.6897597254004577,0.7822222222222223,0.5909090909090909,0.6660080559829458,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
MEAN,TEST,0.56,0.6060426929392446,0.75,0.3934065934065934,0.5001476335161714,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.56,0.6206896551724138,0.75,0.38461538461538464,0.5370861555295747,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.72,0.7586206896551724,0.9166666666666666,0.5384615384615384,0.7025594235292439,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.6,0.5555555555555556,0.5,0.7,0.5916079783099616,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.8,0.782608695652174,0.8181818181818182,0.7857142857142857,0.8017837257372732,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.6599999999999999,0.6261850705194358,0.6333333333333334,0.6854545454545455,0.6554414587941105,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.68,0.7131719854358535,0.8303030303030303,0.5417582417582417,0.6662934209598437,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
1,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
1,TEST,0.6,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.5991446895152781,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
2,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
2,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
3,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
3,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
4,VALIDATION,0.55,0.5263157894736842,0.5555555555555556,0.5454545454545454,0.5504818825631803,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
4,TEST,0.52,0.6470588235294118,0.9166666666666666,0.15384615384615385,0.3755338080994054,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
5,VALIDATION,0.65,0.5882352941176471,0.5,0.8,0.6324555320336759,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
5,TEST,0.64,0.4,0.2727272727272727,0.9285714285714286,0.5032362797401965,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
MEAN,VALIDATION,0.63,0.6164987334646778,0.6555555555555556,0.6145454545454545,0.6264782445135595,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
MEAN,TEST,0.616,0.6022689075630252,0.6712121212121213,0.554945054945055,0.5566535627428413,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
1,VALIDATION,0.65,0.36363636363636365,0.2222222222222222,1.0,0.4714045207910317,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
1,TEST,0.6,0.375,0.25,0.9230769230769231,0.4803844614152614,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
2,VALIDATION,0.6,0.6923076923076923,1.0,0.2727272727272727,0.5222329678670935,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
2,TEST,0.6,0.7058823529411765,1.0,0.23076923076923078,0.4803844614152614,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
3,VALIDATION,0.55,0.6666666666666666,1.0,0.18181818181818182,0.4264014327112209,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
3,TEST,0.6,0.6875,0.9166666666666666,0.3076923076923077,0.5310850045437944,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
4,VALIDATION,0.6,0.5,0.4444444444444444,0.7272727272727273,0.5685352436149611,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
4,TEST,0.84,0.8333333333333334,0.8333333333333334,0.8461538461538461,0.8397191227596316,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
5,VALIDATION,0.65,0.6956521739130435,0.8,0.5,0.6324555320336759,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
5,TEST,0.6,0.6875,1.0,0.2857142857142857,0.5345224838248488,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
MEAN,VALIDATION,0.61,0.5836525793047531,0.6933333333333334,0.5363636363636364,0.5242059394035966,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
MEAN,TEST,0.6479999999999999,0.6578431372549021,0.8,0.5186813186813187,0.5732191067917596,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
1,VALIDATION,0.85,0.8235294117647058,0.7777777777777778,0.9090909090909091,0.8408749651825217,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
2,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
2,TEST,0.6,0.375,0.25,0.9230769230769231,0.4803844614152614,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
3,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
3,TEST,0.68,0.6923076923076923,0.75,0.6153846153846154,0.6793662204867574,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
4,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
5,VALIDATION,0.65,0.6956521739130435,0.8,0.5,0.6324555320336759,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
5,TEST,0.76,0.7857142857142857,1.0,0.5714285714285714,0.7559289460184544,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
MEAN,VALIDATION,0.72,0.7221696504688832,0.7822222222222223,0.6636363636363637,0.7040191711003541,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
MEAN,TEST,0.608,0.5971744439135743,0.6833333333333333,0.5450549450549451,0.49407596482914046,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
1,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.52,0.5384615384615384,0.5833333333333334,0.46153846153846156,0.5188745216627708,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
