fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
4,TEST,0.44,0.3,0.25,0.6153846153846154,0.3922322702763681,8,1e-05,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.5,0.6666666666666666,1.0,0.0,0.0,8,1e-05,resize_smaller_hu_m300_1400_separadas
5,TEST,0.44,0.6111111111111112,1.0,0.0,0.0,8,1e-05,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.5,0.5949425287356321,0.8666666666666668,0.18181818181818182,0.18375347932571037,8,1e-05,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.472,0.575015015015015,0.85,0.13846153846153847,0.13391647367779652,8,1e-05,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.55,0.0,0.0,1.0,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
1,TEST,0.52,0.0,0.0,1.0,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
2,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.55,0.0,0.0,1.0,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
3,TEST,0.52,0.0,0.0,1.0,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
4,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.5,0.6666666666666666,1.0,0.0,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
5,TEST,0.44,0.6111111111111112,1.0,0.0,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.5,0.3816091954022989,0.6,0.4,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.488,0.3816816816816817,0.6,0.4,0.0,8,0.0001,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,8,0.001,resize_smaller_hu_m300_1400_separadas
1,TEST,0.56,0.5925925925925926,0.6666666666666666,0.46153846153846156,0.5547001962252291,8,0.001,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,8,0.001,resize_smaller_hu_m300_1400_separadas
2,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,8,0.001,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.55,0.64,0.8888888888888888,0.2727272727272727,0.4923659639173309,8,0.001,resize_smaller_hu_m300_1400_separadas
3,TEST,0.6,0.6875,0.9166666666666666,0.3076923076923077,0.5310850045437944,8,0.001,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.55,0.6666666666666666,1.0,0.18181818181818182,0.4264014327112209,8,0.001,resize_smaller_hu_m300_1400_separadas
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,8,0.001,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,8,0.001,resize_smaller_hu_m300_1400_separadas
5,TEST,0.68,0.7333333333333333,1.0,0.42857142857142855,0.6546536707079771,8,0.001,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.6,0.6537971014492754,0.8288888888888888,0.41090909090909095,0.5611011763577186,8,0.001,resize_smaller_hu_m300_1400_separadas
